epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5987.41,1.26053,2.57461,1.49962,0.93124,0.95611,0.98456,0.68537,1.04502,1.49866,1.38898,0.000138944,0.000138944,0.000138944
2,11435.5,1.05034,1.16679,1.2852,0.97523,0.98061,0.98917,0.74026,0.93729,0.77362,1.29992,0.000268772,0.000268772,0.000268772
3,18171.7,1.00845,0.85074,1.24379,0.98584,0.99178,0.9927,0.75818,0.89021,0.56717,1.24912,0.000389426,0.000389426,0.000389426
4,25786.5,0.97957,0.72541,1.22151,0.98908,0.99158,0.99009,0.76497,0.86903,0.46713,1.23835,0.000375717,0.000375717,0.000375717
5,32505.1,0.94278,0.64879,1.19493,0.98916,0.9865,0.98982,0.77908,0.83611,0.42571,1.2036,0.000361956,0.000361956,0.000361956
6,37790.9,0.91213,0.60108,1.18022,0.98846,0.99601,0.9934,0.79787,0.79325,0.40109,1.16633,0.000348195,0.000348195,0.000348195
7,45128.7,0.88683,0.56011,1.15935,0.98312,0.99551,0.99183,0.79265,0.78967,0.381,1.16894,0.000334434,0.000334434,0.000334434
8,50320.9,0.87006,0.53748,1.15183,0.99257,0.99579,0.99423,0.811,0.76289,0.35556,1.14089,0.000320673,0.000320673,0.000320673
9,55484.8,0.84862,0.51186,1.13986,0.99086,0.99225,0.99262,0.81009,0.75998,0.34607,1.14589,0.000306912,0.000306912,0.000306912
